"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"266",1746434,"HOUSE",319000,150,165,4,"Antwerpen","2100","De sevillastraat","11",4.4547125446976,51.205976918082,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1746434",NA
"267",1881434,"HOUSE",349900,220,199.98128481675,5,"Antwerpen","2170","Oudebareellei","19",4.4548311175356,51.247649745443,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1881434",NA
"268",1955253,"HOUSE",349000,210,216.84339154325,3,"Antwerpen","2170","Victor roosensplein","31",4.4550179746949,51.248704202516,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1955253",NA
"269",1955229,"HOUSE",359000,178,243.77092140168,3,"Antwerpen","2170","Victor roosensplein","31/33",4.4550860291805,51.24874709581,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1955229",NA
"270",2062804,"HOUSE",575000,178,1157,3,"Kalmthout","2920","Rozendreef","1",4.4551731348656,51.379494058871,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2062804",NA
"271",2099830,"HOUSE",339000,205,107,4,"Mortsel","2640","Mechelsesteenweg","195",4.4556895781045,51.164300541986,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2099830",NA
"272",2040163,"HOUSE",475000,159,675,3,"Essen","2910","Huybergsebaan","56",4.4558215764007,51.4234810685,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2040163",NA
"273",1821984,"HOUSE",295000,170,172,4,"Antwerpen","2170","Kasterveldenstraat","23",4.4565593902626,51.253493158254,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1821984",NA
"274",1821974,"HOUSE",339000,170,240,5,"Antwerpen","2170","Kasterveldenstraat","74",4.4567134419026,51.255031720167,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1821974",NA
"275",1820631,"HOUSE",229000,105,95,2,"Antwerpen","2100","Karel palmsstraat","35",4.4568112195156,51.22593188076,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1820631",NA
"276",1869309,"HOUSE",349000,177,73,3,"Antwerpen","2170","Molenlei","33",4.4568228028223,51.248850476191,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1869309",NA
"277",2103910,"HOUSE",469000,196,422,4,"Mortsel","2640","Tommeltlaan","28",4.4569548563822,51.166009295174,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2103910",NA
"278",2099400,"HOUSE",339000,175,100,3,"Mortsel","2640","Maalderijstraat","1",4.4580661678333,51.164306203669,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2099400",NA
"279",2126240,"HOUSE",649000,237,2127,3,"Rumst","2840","Varenstraat","57",4.4581717479662,51.079597659712,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2126240",NA
"280",1810889,"HOUSE",269000,NA,84.671732329298,4,"Antwerpen","2100","Jeroom beckstraat","10",4.4581788948082,51.23002499787,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1810889",NA
"281",1867194,"HOUSE",249000,90,46.890337253804,3,"Antwerpen","2100","Merksemsesteenweg","99",4.458208444714,51.231409784556,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1867194",NA
